brand,model,year,mileage,engine,engine_size,transmission,automatic_transmission,fuel_type,drivetrain,min_mpg,max_mpg,damaged,first_owner,personal_using,turbo,alloy_wheels,adaptive_cruise_control,navigation_system,power_liftgate,backup_camera,keyless_start,remote_start,sunroof/moonroof,automatic_emergency_braking,stability_control,leather_seats,memory_seat,third_row_seating,apple_car_play/android_auto,bluetooth,usb_port,heated_seats,interior_color,exterior_color,price
FIAT,124 Spider Lusso,2020,30830,1.4L I4 16V MPFI SOHC Turbo,1.4,6-Speed Automatic,1,Gasoline,Rear-wheel Drive,25,36,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,Saddle,Forte Black Metallic,26500
Lexus,RX 450h F Sport,2019,58274,3.5L V6 24V PDI DOHC Hybrid,3.5,Automatic CVT,1,Hybrid,Four-wheel Drive,18,25,0,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,Rioja Red,Nightfall Mica,36987
Kia,Stinger GT1,2018,69303,3.3L V6 24V GDI DOHC Twin Turbo,3.3,8-Speed Automatic,1,Gasoline,Four-wheel Drive,19,24,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,Black,HiChroma Red,26997
MINI,Convertible Cooper S,2023,5026,2.0L I4 16V GDI DOHC Turbo,2,Automatic,1,Gasoline,Front-wheel Drive,25,35,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,Carbon Black,Chili Pepper Red,37923
Nissan,Murano S,2018,61180,3.5L V6 24V MPFI DOHC,3.5,Automatic CVT,1,Gasoline,Four-wheel Drive,14,19,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,Graphite,Gun Metallic,20490
Toyota,Highlander Hybrid LE,2022,52250,2.5L I4 16V PDI DOHC Hybrid,2.5,Automatic CVT,1,Hybrid,Four-wheel Drive,35,35,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,Black,Moon Dust,35895
Cadillac,Escalade Sport Platinum,2021,29245,6.2L V8 16V GDI OHV,6.2,10-Speed Automatic,1,Gasoline,Four-wheel Drive,,,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,Jet Black,Black Raven,102999
Cadillac,CT5 Premium Luxury AWD,2020,16883,3.0L V6 24V GDI DOHC Twin Turbo,3,10-Speed Automatic,1,Gasoline,Four-wheel Drive,16,23,0,1,0,1,1,0,1,0,1,0,1,0,1,1,1,1,0,1,1,0,0,Shara Beige,Dark Moon Metallic,44995
Land,Rover Range Rover Evoque Pure,2013,86610,"2L I-4 gasoline direct injection, DOHC, variable valve control",2,Automatic,1,Gasoline,Four-wheel Drive,,,1,0,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,Black,Black,20290
Lexus,IS 350 F Sport,2023,2272,3.5L V6 24V PDI DOHC,3.5,Automatic,1,Gasoline,Rear-wheel Drive,,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Black,Blue,46500
Maserati,Ghibli S,2018,19267,3.0L V6 24V GDI DOHC Twin Turbo,3,8-Speed Automatic,1,Gasoline,Rear-wheel Drive,17,24,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,Nero,Nero,37699
Alfa,Romeo Stelvio Ti Sport,2020,24667,2.0L I4 16V GDI SOHC Turbo,2,8-Speed Automatic,1,Gasoline,Four-wheel Drive,22,28,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0,Black,Alfa White,34990
Mitsubishi,Lancer Evolution GSR,2013,47392,2.0L I4 16V MPFI DOHC Turbo,2,5-Speed Manual,0,Gasoline,Four-wheel Drive,,,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,Black,Silver,32995
Jeep,Grand Cherokee Summit,2020,22025,5.7L V8 16V MPFI OHV,5.7,8-Speed Automatic,1,Gasoline,Four-wheel Drive,17,23,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,Black,Diamond Black,42740
Audi,A3 Premium Plus,2022,7232,2.0L I4 16V GDI DOHC Turbo,2,7-Speed Automatic with Auto-Shift,1,Gasoline,Four-wheel Drive,28,36,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,1,Black,Glacier White Metallic,37500
Volkswagen,Taos 1.5T SEL,2022,25950,1.5L I4 16V GDI DOHC Turbo,1.5,7-Speed Automatic with Auto-Shift,1,Gasoline,Four-wheel Drive,,,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,Titan Black,Deep Black Pearl Effect,31480
Porsche,Cayenne GTS,2016,90544,3.6L V6 24V GDI DOHC Twin Turbo,3.6,8-Speed Automatic,1,Gasoline,Four-wheel Drive,18,28,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,Saddle,White,37750
Land,Rover Range Rover Supercharged,2019,45211,V8,,Automatic,1,Gasoline,Four-wheel Drive,18,28,0,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,Ebony,Santorini Black,65990
Chevrolet,Silverado 1500 LTZ,2019,63001,5.3L V8 16V GDI OHV,5.3,Automatic,1,Gasoline,Four-wheel Drive,16,22,0,0,1,0,1,0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,Gideon,Gray,38995
Honda,Passport Elite,2020,44467,3.5L V6 24V GDI SOHC,3.5,9-Speed Automatic,1,Gasoline,Four-wheel Drive,19,24,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,Gray,Obsidian Blue Pearl,33700
BMW,750 Li xDrive,2015,44807,4.4L V8 32V GDI DOHC Twin Turbo,4.4,8-Speed Automatic,1,Gasoline,Four-wheel Drive,16,24,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,Black,Gray,26999
